waypoint1	waypoint2	distance_m	duration_s
aeroport t1 metro, barcelona	aeroport T2 metro, barcelona	548	457
aeroport t1 metro, barcelona	alfons x metro, barcelona	25361	4435
aeroport t1 metro, barcelona	almeda metro, barcelona	21504	3824
aeroport t1 metro, barcelona	arc de triomf metro, barcelona	23979	3883
aeroport t1 metro, barcelona	artigues metro, barcelona	30123	5261
aeroport t1 metro, barcelona	avinguda carrilet metro, barcelona	20051	3259
aeroport t1 metro, barcelona	avinguda tibidabo metro, barcelona	25756	4512
aeroport t1 metro, barcelona	bac de roda metro, barcelona	27074	4700
aeroport t1 metro, barcelona	badal metro, barcelona	19195	2968
aeroport t1 metro, barcelona	badalona pompeu fabra metro, barcelona	33084	5677
aeroport t1 metro, barcelona	barceloneta metro, barcelona	21158	4037
aeroport t1 metro, barcelona	baro de vivir metro, barcelona	31607	5079
aeroport t1 metro, barcelona	bellvitge metro, barcelona	13000	2234
aeroport t1 metro, barcelona	besos metro, barcelona	29186	5594
aeroport t1 metro, barcelona	besos mar metro, barcelona	30190	5320
aeroport t1 metro, barcelona	bogatell metro, barcelona	25150	4515
aeroport t1 metro, barcelona	bon pastor metro, barcelona	29886	5131
aeroport t1 metro, barcelona	camp de l'arpa metro, barcelona	25881	4091
aeroport t1 metro, barcelona	can boixeres metro, barcelona	21229	3294
aeroport t1 metro, barcelona	can cuias metro, barcelona	39683	6721
aeroport t1 metro, barcelona	can peixauet metro, barcelona	33270	5903
aeroport t1 metro, barcelona	can serra metro, barcelona	18813	3048
aeroport t1 metro, barcelona	can tries metro, barcelona	16520	2221
aeroport t1 metro, barcelona	can vidalet metro, barcelona	20372	3164
aeroport t1 metro, barcelona	can zam metro, barcelona	34808	5895
aeroport t1 metro, barcelona	canyelles metro, barcelona	35457	5568
aeroport t1 metro, barcelona	casa de l'aigua metro, barcelona	30774	5561
aeroport t1 metro, barcelona	catalunya metro, barcelona	23165	3827
aeroport t1 metro, barcelona	centric metro, barcelona	7239	1334
aeroport t1 metro, barcelona	via olimpica metro, barcelona	25875	4756
aeroport t1 metro, barcelona	ciutat meridiana metro, barcelona	34983	5798
aeroport t1 metro, barcelona	clot metro, barcelona	26378	4364
aeroport t1 metro, barcelona	collblanc metro, barcelona	18462	2431
aeroport t1 metro, barcelona	congres metro, barcelona	27339	4289
aeroport t1 metro, barcelona	cornella centre metro, barcelona	23491	3651
aeroport t1 metro, barcelona	cornella riera metro, barcelona	24353	4268
aeroport t1 metro, barcelona	Diagonal, Barcelona, Spain	23091	3851
aeroport t1 metro, barcelona	Drassanes metro, barcelona	25998	4062
aeroport t1 metro, barcelona	el carmel metro, barcelona	30620	4907
aeroport t1 metro, barcelona	el coll metro, barcelona	31807	5098
aeroport t1 metro, barcelona	el maresme metro, barcelona	29773	5317
aeroport t1 metro, barcelona	el prat estacio metro, barcelona	8451	1515
aeroport t1 metro, barcelona	el putxet metro, barcelona	25549	4518
aeroport t1 metro, barcelona	encants metro, barcelona	26010	4486
aeroport t1 metro, barcelona	entenca metro, barcelona	21172	3323
aeroport t1 metro, barcelona	ernest lluch metro, barcelona	19005	2880
aeroport t1 metro, barcelona	esglesia major metro, barcelona	33041	5848
aeroport t1 metro, barcelona	espanya metro, barcelona	16912	2776
aeroport t1 metro, barcelona	europa metro, barcelona	15778	2224
